ILI	EN	UA_WORD	UA_DEF
i22353	sit tight: maintain the same position	сидіти спокійно	 зберігати незмінне положення
i38736	squat: exercising by repeatedly assuming a crouching position with the knees bent	присідання	 вправа шляхом багаторазового прийняття положення присідання із зігнутими колінами
i9541	matriarchal: characteristic of a matriarchy	матріархальний	 характерний для матріархату
i76899	crumb: small piece of e.g. bread or cake	крихта	 невеликий шматочок, наприклад, хліба або тістечка
i70340	Epistle: a book of the New Testament written in the form of a letter from an Apostle	Послання	 книга Нового Завіту, написана у формі листа від апостола
i7330	uninteresting: arousing no interest or attention or curiosity or excitement	нецікавий	 такий, що не викликає інтересу, уваги, цікавості чи хвилювання
i15211	deliverable: suitable for or ready for delivery	результат	 придатний для доставки або готовий до доставки
i10049	unpowered: not having or using power	без електроживлення	 який не має або не користується електроенергією
i60295	tinsel: a showy decoration that is basically valueless	мішура	 ефектна прикраса, яка по суті нічого не варта
i102336	wild garlic: pungent Old World weedy plant	черемша	 гостра бур'яниста рослина Старого Світу
i110333	polygyny: a form of polygamy in which a man has multiple wives	полігінія	 форма полігамії, за якої чоловік має кілька дружин
i59728	stun gun: a weapon designed to disable a victim temporarily by delivering a nonlethal high-voltage electric shock	електрошокер	 зброя, призначена для тимчасового виведення жертви з ладу шляхом нанесення нелетального удару електричним струмом високої напруги
i50820	cosh: a piece of metal covered by leather with a flexible handle	кош	 шматок металу, обтягнутий шкірою, з гнучкою ручкою
i48103	Przewalski's horse: wild horse of central Asia that resembles an ass	Кінь Пржевальського	 дикий кінь Центральної Азії, схожий на осла
i61830	irony: incongruity between what might be expected and what actually occurs	іронія	 невідповідність між тим, що можна було б очікувати, і тим, що відбувається насправді
i73240	Romany: the Indic language of the Romani	Романі	 індіанська мова ромів
i96138	St. Martin: French bishop who is a patron saint of France (died in 397)	Святий Мартін	 Французький єпископ, покровитель Франції (помер у 397 році)
i53434	ensign: colors flown by a ship to show its nationality	прапор	 кольори, що піднімаються на кораблі, щоб показати його національну приналежність
i115094	erythropoietin: a glycoprotein secreted by the kidneys that stimulates the production of red blood cells	еритропоетин	 глікопротеїн, що виділяється нирками і стимулює вироблення еритроцитів
i61316	yarmulke: a skullcap worn by religious Jews (especially at prayer)	ермолка	 тюбетейка, яку носять релігійні євреї (особливо під час молитви)
i57162	periscope: an optical instrument that provides a view of an otherwise obstructed field	перископ	 оптичний інструмент, який забезпечує огляд поля, яке інакше було б захаращене перешкодами
i91350	migrator: traveler who moves from one region or country to another	мігрант	 мандрівник, який переїжджає з одного регіону або країни до іншого
i76538	gluten: a protein substance that remains when starch is removed from cereal grains	клейковина	 білкова речовина, що залишається після видалення крохмалю із зерен злаків
i54596	blow drier: a hand-held electric blower that can blow warm air onto the hair	фен	 ручна електрична повітродувка, яка вдуває тепле повітря на волосся
i70077	hard copy: (computer science) matter that is held in a computer and is typed or printed on paper	друкована копія	 (інформатика) матеріал, який зберігається в комп'ютері та набраний або надрукований на папері
i26030	rave: praise enthusiastically	rave	 захоплено хвалити
i4737	employed: having your services engaged for	працевлаштовані	 використання ваших послуг для
i109209	ullage: the amount that a container (as a wine bottle or tank) lacks of being full	недовантаження	 кількість, якої не вистачає контейнеру (наприклад, винній пляшці або резервуару) до повного заповнення
i80598	Oort cloud: (astronomy) a hypothetical huge collection of comets orbiting the sun far beyond the orbit of Pluto	Хмара Оорта	 (астрономія) гіпотетичне величезне скупчення комет, що обертаються навколо Сонця далеко за межами орбіти Плутона
i89689	editor in chief: a person responsible for the editorial aspects of publication	головний редактор	 особа, відповідальна за редакційні аспекти видання
i16146	Caucasian: of or relating to the geographical region of Caucasia	Кавказький	 про географічний регіон Кавказу або пов'язаний з ним
i88499	beadle: a minor parish official who serves a ceremonial function	дяк	 дрібна парафіяльна посадова особа, яка виконує церемоніальну функцію
i53277	dynamo: generator consisting of a coil (the armature) that rotates between the poles of an electromagnet (the field magnet) causing a current to flow in the armature	динамо	 генератор, що складається з котушки (якоря), яка обертається між полюсами електромагніту (польового магніту), викликаючи струм в якорі
i37828	virtual reality: a hypothetical three-dimensional visual world created by a computer	віртуальна реальність	 гіпотетичний тривимірний візуальний світ, створений комп'ютером
i1633	idle: not in action or at work	бездіяльний	 не діє або не працює
i117020	February 14: a day for the exchange of tokens of affection	14 лютого	 день обміну знаками прихильності
i52810	designer drug: a psychoactive drug deliberately synthesized to avoid anti-drug laws	дизайнерський наркотик	 психоактивний наркотик, навмисно синтезований, щоб обійти антинаркотичне законодавство
i9938	pointed: having a point	pointed	 який має певну точку зору
i560	ample: more than enough in size or scope or capacity	достатній	 більш ніж достатній за розміром, обсягом або потужністю
i12665	unstoppable: not capable of being stopped	unstoppable	 який не можна зупинити
i5947	full: containing as much or as many as is possible or normal	повний	 який містить стільки або стільки, скільки можливо або нормально
i88333	assistant: a person who contributes to the fulfillment of a need or furtherance of an effort or purpose	асистент	 особа, яка сприяє задоволенню потреби або просуванню зусиль чи мети
i48168	mule: hybrid offspring of a male donkey and a female horse	мул	 гібридне потомство самця віслюка та самки коня
i97852	hysteresis: the lagging of an effect behind its cause	гістерезис	 відставання наслідку від його причини
i55530	lanyard: (nautical) a line used for extending or fastening rigging on ships	талреп	 (морський) линва, що використовується для подовження або кріплення такелажу на суднах
i65900	urethra: duct through which urine is discharged in most mammals and which serves as the male genital duct	уретра	 протока, через яку виводиться сеча у більшості ссавців і яка слугує чоловічим статевим каналом
i79629	hedgefund: a flexible investment company for a small number of large investors (usually the minimum investment is $1 million)	хедж-фонд	 гнучка інвестиційна компанія для невеликої кількості великих інвесторів (зазвичай мінімальна інвестиція становить 1 мільйон доларів)
i85599	isthmus: a relatively narrow strip of land (with water on both sides) connecting two larger land areas	перешийок	 відносно вузька смуга землі (з водою з обох боків), що з'єднує дві більші ділянки суші
i55303	jukebox: a cabinet containing an automatic record player	музичний автомат	 шафа з автоматичним програвачем звукозаписів
i67873	tactic: a plan for attaining a particular goal	тактика	 план досягнення певної мети
i93093	runner: someone who imports or exports without paying duties	бігун	 той, хто імпортує або експортує без сплати мита
i3044	eccentric: not having a common center	ексцентричні	 не мають спільного центру
i54536	habit: attire that is typically worn by a horseback rider (especially a woman's attire)	вбрання	 одяг, який зазвичай носить вершник (особливо жіночий)
i92284	profiteer: someone who makes excessive profit (especially on goods in short supply)	спекулянт	 той, хто отримує надмірний прибуток (особливо на дефіцитних товарах)
i58675	diamante: adornment consisting of a small piece of shiny material used to decorate clothing	діамант	 прикраса, що складається з невеликого шматочка блискучого матеріалу, який використовується для прикраси одягу
i115935	poison gas: a gas that is poisonous to breath or contact	отруйний газ	 газ, який є отруйним при вдиханні або контакті
i42977	fetus: an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal	плід	 ще ненароджена або не вилупилася хребетна тварина на пізніх стадіях розвитку, що має основні характерні ознаки дорослої тварини
i80608	phalanx: a body of troops in close array	фаланга	 група військ у тісному строю
i70230	gazetteer: a geographical dictionary (as at the back of an atlas)	довідник	 географічний словник (як на звороті атласу)
i73574	classical music: traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste	класична музика	 традиційний жанр музики, що відповідає встановленій формі та апелює до критичного інтересу і розвиненого музичного смаку
i85548	hydrogen ion: a positively charged atom of hydrogen	іон водню	 позитивно заряджений атом водню
i87732	Irishman: a man who is a native or inhabitant of Ireland	Ірландець	 людина, яка є уродженцем або жителем Ірландії
i93353	stranger: an individual that one is not acquainted with	незнайомець	 особа, з якою людина не знайома
i36799	mending: the act of putting something in working order again	лагодження	 акт приведення чогось у робочий стан
i8356	mobile: moving or capable of moving readily (especially from place to place)	мобільний	 який пересувається або здатний легко пересуватися (особливо з місця на місце)
i52857	diary: a personal journal (as a physical object)	щоденник	 особистий щоденник (як фізичний об'єкт)
i109093	I: the smallest whole number or a numeral representing this number	I	 найменше ціле число або цифра, що позначає це число
i89543	disturber: a troubler who interrupts or interferes with peace and quiet	порушник	 людина, яка перериває або втручається в мир і спокій
i51452	cannula: a small flexible tube inserted into a body cavity for draining off fluid or introducing medication	канюля	 невелика гнучка трубка, яку вводять у порожнину тіла для відведення рідини або введення ліків
i30620	like: be fond of	наприклад	 любити
i89022	clever Dick: an intellectual who is ostentatiously and irritatingly knowledgeable	розумний Дік	 інтелектуал, який демонструє показну і дратівливу обізнаність
i92435	rake: a dissolute man in fashionable society	граблі	 розпусний чоловік у модному суспільстві
i70584	portfolio: a list of the financial assets held by an individual or a bank or other financial institution	портфель	 перелік фінансових активів, якими володіє фізична особа або банк чи інша фінансова установа
i107376	blowing: processing that involves blowing a gas	вдування	 обробка, що передбачає вдування газу
i12337	fine: of textures that are smooth to the touch or substances consisting of relatively small particles	дрібні	 з гладких на дотик текстур або речовин, що складаються з відносно дрібних частинок
i50340	back room: a room located in the rear of an establishment	підсобне приміщення	 приміщення, розташоване в задній частині закладу
i50246	attachment: a connection that fastens things together	прикріплення	 з'єднання, яке скріплює речі разом
i111706	Saint Anthony's fire: any of several inflammatory or gangrenous skin conditions	Вогонь Святого Антонія	 будь-яке з декількох запальних або гангренозних захворювань шкіри
i93250	squaw: derogatory terms for an American Indian woman	скво	 зневажливе позначення жінки з числа американських індіанців
i47086	bee: any of numerous hairy-bodied insects including social and solitary species	бджола	 будь-яка з численних волохатих комах, включаючи соціальні та одиночні види
i82988	Stuttgart: a city in southwestern Germany famous for innovative architecture	Штутгарт	 місто на південному заході Німеччини, відоме своєю інноваційною архітектурою
i16368	lachrymatory: relating to or prompting tears	лакриматорний	 пов'язаний зі сльозами або такий, що викликає сльози
i90547	homeless: someone unfortunate without housing	бездомний	 той, хто не має житла
i112456	hiccup: (usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound	гикавка	 (зазвичай у множині) стан рефлекторних спазмів діафрагми, що супроводжується швидким закриттям голосової щілини з утворенням чутного звуку
i58088	repeater: (electronics) electronic device that amplifies a signal before transmitting it again	повторювач	 (електроніка) електронний пристрій, який підсилює сигнал перед повторною передачею
i437	aggressive: having or showing determination and energetic pursuit of your ends	агресивний	 має або демонструє рішучість та енергійне досягнення своїх цілей
i96398	Nicholas: a bishop in Asia Minor who is associated with Santa Claus (4th century)	Миколай	 єпископ у Малій Азії, який асоціюється з Санта-Клаусом (4 століття)
i33590	devein: remove the dark dorsal vein of (a shrimp)	жилка	 видаліть темну спинну жилку (креветки)
i83333	Bruges: a city in northwestern Belgium that is connected by canal to the North Sea	Брюгге	 місто на північному заході Бельгії, яке з'єднане каналом з Північним морем
i63783	high: a lofty level or position or degree	високий	 високий рівень або положення чи ступінь
i3593	credulous: disposed to believe on little evidence	довірливий	 схильний вірити, незважаючи на незначні докази
i4242	inverse: opposite in nature or effect or relation to another quantity	протилежний	 протилежний за характером або ефектом чи відношенням до іншої величини
i69623	morpheme: minimal meaningful language unit	морфема	 мінімальна значуща мовна одиниця
i91478	charlatan: a flamboyant deceiver	шарлатан	 яскравий обманщик
i89302	creature: a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else	істота	 людина, яку контролюють інші і використовують для виконання неприємних або нечесних завдань для когось іншого
i14100	sick: affected by an impairment of normal physical or mental function	хворий	 страждає від порушення нормальної фізичної або психічної функції
i2	unable: (usually followed by `to') not having the necessary means or skill or know-how	не в змозі	 (зазвичай з прийменником "to") не маючи необхідних засобів, навичок або ноу-хау
i42240	War of the Grand Alliance: an aggressive war waged by Louis XIV against Spain and the Holy Roman Empire and England and Holland and other states (1689-1697)	Війна Великого союзу	 агресивна війна, яку Людовік XIV вів проти Іспанії та Священної Римської імперії, Англії, Голландії та інших держав (1689-1697)
i87216	inhabitant: a person who inhabits a particular place	мешканець	 особа, яка проживає в певному місці
i37873	football game: any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal	футбольна гра	 будь-яка з різноманітних ігор з м'ячем (круглим або овальним), в якій дві команди намагаються забити м'яч у ворота одна одної ногою або пронести чи проштовхнути його
i96546	Simon Peter: disciple of Jesus and leader of the Apostles	Симон Петро	 учень Ісуса і лідер апостолів
i53310	egg cup: dishware consisting of a small cup for serving a boiled egg	яєчна чашка	 посуд, що складається з маленької чашки для подачі вареного яйця
i89201	contractor: the bridge player in contract bridge who wins the bidding and can declare which suit is to be trumps	підрядник	 гравець у контрактний бридж, який виграє торги і може оголосити, яка масть буде козирем
i37921	tennis: a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court	теніс	 гра, в яку грають ракетками два або чотири гравці, які б'ють м'яч туди-сюди по сітці, що розділяє корт
i112644	mass hysteria: a condition in which a large group of people exhibit the same state of violent mental agitation	масова істерія	 стан, при якому велика група людей демонструє однаковий стан сильного психічного збудження
i72490	semicolon: a punctuation mark (	крапка з комою	 розділовий знак (
i75646	inflation: (cosmology) a brief exponential expansion of the universe (faster than the speed of light) postulated to have occurred shortly after the big bang	інфляція	 (космологія) коротке експоненціальне розширення Всесвіту (швидше за швидкість світла), яке, за припущенням, відбулося незабаром після Великого вибуху
i56459	musical box: produces music by means of pins on a revolving cylinder that strike the tuned teeth of a comb-like metal plate	музична скринька	 відтворює музику за допомогою штифтів на обертовому циліндрі, які вдаряються об налаштовані зубці металевої пластини, схожої на гребінець
i71528	dress code: a set of rules specifying the correct manner of dress while on the premises of the institution (or specifying what manner of dress is prohibited)	дрес-код	 набір правил, що визначають правильний стиль одягу під час перебування на території установи (або вказують на те, який стиль одягу заборонений)
i116918	prime time: the hours between 7 and 11 p.m. when the largest tv audience is available	прайм-тайм	 години між 7 та 11 годинами вечора, коли доступна найбільша телевізійна аудиторія
i116970	Germinal: seventh month of the Revolutionary calendar (March and April)	Зародковий	 сьомий місяць революційного календаря (березень і квітень)
i3383	unconformist: not conforming to some norm or socially approved pattern of behavior or thought	нонконформістський	 такий, що не відповідає певній нормі або соціально схваленій моделі поведінки чи мислення
i40116	close-order drill: (military) military drill of troops in standard marching (shoulder-to-shoulder)	стройовий вишкіл	 (військовий) військовий вишкіл військ у стандартному марші (пліч-о-пліч)
i13977	voluntary: of your own free will or design	добровільно	 за власним бажанням або за власним бажанням
i74405	gap: a difference (especially an unfortunate difference) between two opinions or two views or two situations	розрив	 розбіжність (особливо прикра розбіжність) між двома думками, двома поглядами або двома ситуаціями
i60635	tunic: any of a variety of loose fitting cloaks extending to the hips or knees	туніка	 будь-який з різноманітних плащів вільного крою, що доходить до стегон або колін
i99669	colewort: a hardy cabbage with coarse curly leaves that do not form a head	коулворт	 витривала капуста з грубим кучерявим листям, яке не утворює качана
i75947	relay: a race between teams	естафета	 змагання між командами
i13804	hooved: having or resembling hoofs	копитний	 який має копита або нагадує копита
i111056	portal hypertension: increase in blood pressure in the veins of the portal system caused by obstruction in the liver (often associated with alcoholic cirrhosis), causing enlargement of the spleen and collateral veins	портальна гіпертензія	 підвищення артеріального тиску у венах портальної системи, спричинене обструкцією в печінці (часто асоціюється з алкогольним цирозом), що призводить до збільшення селезінки та колатеральних вен
i10545	restless: lacking or not affording physical or mental rest	неспокійний	 який не має або не може забезпечити фізичний чи психічний відпочинок
i45545	sea-ear: an abalone found near the Channel Islands	морське вухо	 морський вугор, знайдений біля Нормандських островів
i5545	last: coming after all others in time or space or degree or being the only one remaining	останній	 який настає після всіх інших у часі, просторі чи ступені або є єдиним, що залишився
i4975	euphoric: exaggerated feeling of well-being or elation	ейфоричний	 перебільшене відчуття благополуччя або піднесення
i93514	tablemate: someone you dine with	сусід по столу	 людина, з якою ви обідаєте
i93216	party pooper: someone who spoils the pleasure of others	псує вечірку	 той, хто псує задоволення іншим
i50383	balcony: an upper floor projecting from the rear over the main floor in an auditorium	балкон	 верхній поверх, що виступає ззаду над основним поверхом у залі для глядачів
i59132	snapshot: an informal photograph	знімок	 неформальна фотографія
i10443	pure: (used of persons or behaviors) having no faults	чистий	 (вживається щодо осіб або поведінки) без недоліків
i83083	Golgotha: a hill near Jerusalem where Jesus was crucified	Голгофа	 пагорб поблизу Єрусалиму, де був розп'ятий Ісус
i354	unadvisable: not prudent or wise	недоцільний	 нерозсудливий або нерозумний
i10690	refined: freed from impurities by processing	рафінована	 звільнена від домішок шляхом переробки
i5290	familiar: well known or easily recognized	знайомий	 добре відомий або легко впізнаваний
i35655	accomplished fact: an irreversible accomplishment	доконаний факт	 незворотнє досягнення
i70380	New Testament: the collection of books of the Gospels, Acts of the Apostles, the Pauline and other epistles, and Revelation	Новий Завіт	 зібрання книг Євангелій, Діянь Апостолів, Павлових та інших послань, Об'явлення, а також Об'явлення.
i681	unprecedented: having no precedent	безпрецедентний	 який не має прецеденту
i90517	flower child: someone who rejects the established culture	дитина-квітка	 той, хто відкидає усталену культуру
i66308	ulna: the inner and longer of the two bones of the human forearm	ліктьова кістка	 внутрішня і довша з двох кісток передпліччя людини.
i67605	heuristic: a commonsense rule (or set of rules) intended to increase the probability of solving some problem	евристика	 правило (або набір правил) здорового глузду, призначене для підвищення ймовірності вирішення певної проблеми
i3386	conventional: (weapons) using energy for propulsion or destruction that is not nuclear energy	звичайна	 (зброя), що використовує енергію для приведення в рух або знищення, яка не є ядерною енергією
i115352	amber: a hard yellowish to brownish translucent fossil resin	бурштин	 тверда жовтувата або коричнева напівпрозора викопна смола
i3130	congenial: suitable to your needs	конгеніальний	 відповідний вашим потребам
i97711	St. Elmo's fire: an electrical discharge accompanied by ionization of surrounding atmosphere	Вогонь Святого Ельма	 електричний розряд, що супроводжується іонізацією навколишньої атмосфери
i3909	dejected: affected or marked by low spirits	пригнічений	 уражений або позначений поганим настроєм
i71295	open letter: a letter of protest	відкритий лист	 лист протесту
i36991	blind flying: using only instruments for flying an aircraft because you cannot see through clouds or mists etc.	сліпий політ	 використання лише приладів для керування літаком, оскільки ви не можете бачити крізь хмари, туман тощо.
i106667	tithe: a levy of one tenth of something	десятина	 податок у розмірі однієї десятої частини чогось
i111244	consumption: involving the lungs with progressive wasting of the body	споживання	 залучення легень з прогресуючим виснаженням організму
i111206	infectious mononucleosis: an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream	інфекційний мононуклеоз	 гостре захворювання, що характеризується лихоманкою, збільшенням лімфатичних вузлів і аномальним збільшенням мононуклеарних лейкоцитів або моноцитів у крові
i107465	decrement: a process of becoming smaller or shorter	декремент	 процес зменшення або скорочення
i36480	desertion: the act of giving something up	дезертирство	 акт відмови від чогось
i66019	appendix: a vestigial process that extends from the lower end of the cecum and that resembles a small pouch	апендикс	 рудиментарний відросток, що відходить від нижнього кінця сліпої кишки і нагадує невеликий мішечок
i11083	poor: having little money or few possessions	бідні	 мають мало грошей або мало майна
i6937	hurried: moving rapidly or performed quickly or in great haste	поспішний	 який швидко рухається або виконується швидко чи з великим поспіхом
i111220	plague: a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal	чума	 серйозна (іноді смертельна) інфекція гризунів, що викликається Yersinia pestis і випадково передається людині через укус блохи, яка вкусила заражену тварину
i67886	pyramid scheme: a fraudulent scheme in which people are recruited to make payments to the person who recruited them while expecting to receive payments from the persons they recruit	фінансова піраміда	 шахрайська схема, в якій людей вербують для здійснення платежів особі, яка їх завербувала, очікуючи на отримання платежів від осіб, яких вони вербують
i105546	vein: any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ	жилка	 будь-який із судинних пучків або ребер, що утворюють розгалужений каркас провідних і опорних тканин у листку або іншому органі рослини
i500	dead: no longer having or seeming to have or expecting to have life	мертвий	 який більше не має життя, або здається, що не має життя, або не очікує на нього
i113697	slurry: a suspension of insoluble particles (as plaster of Paris or lime or clay etc.) usually in water	суспензія	 суспензія нерозчинних частинок (як паризький гіпс, вапно, глина тощо), зазвичай у воді
i112241	hemorrhoid: venous swelling external or internal to the anal sphincter	геморой	 венозний набряк зовні або всередині анального сфінктера
i36578	assisted suicide: suicide of a terminally ill person that involves an assistant who serves to make dying as painless and dignified as possible	асистоване самогубство	 самогубство невиліковно хворої людини за участю помічника, який допомагає зробити її смерть максимально безболісною та гідною
i82560	heading: the direction or path along which something moves or along which it lies	напрямок	 напрямок або шлях, по якому щось рухається або на якому воно лежить
i61365	extraversion: (psychology) an extroverted disposition	екстраверсія	 (психологія) екстравертний характер
i59375	sport utility vehicle: a high-performance four-wheel drive car built on a truck chassis	спортивний позашляховик	 високопродуктивний повнопривідний автомобіль, побудований на шасі вантажівки
i81272	posse: a temporary police force	загін	 тимчасові поліцейські сили
i62170	staginess: an artificial and mannered quality	сценічність	 штучна та манірна якість
i10335	prospective: of or concerned with or related to the future	перспективний	 такий, що стосується або пов'язаний з майбутнім або пов'язаний з майбутнім
i60004	tape: measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths	рулетка	 вимірювальний інструмент, що складається з вузької смужки (тканинної або металевої), позначеної в дюймах або сантиметрах і використовується для вимірювання довжини
i2315	light: (used of color) having a relatively small amount of coloring agent	світлий	 (використовується в кольорі) з відносно невеликою кількістю барвника
i92664	runt: disparaging terms for small people	коротун	 зневажливий термін на позначення малих людей
i11464	narrow-minded: rigidly adhering to a particular sect or its doctrines	вузьколобі	 жорстко дотримуються певної секти або її доктрин
i6024	immature: (of birds) not yet having developed feathers	незрілий	 (про птахів) який ще не має розвиненого пір'я
i7732	collateral: descended from a common ancestor but through different lines	побічні	 походять від спільного предка, але по різних лініях
i66170	sciatic nerve: arises from the sacral plexus and passes about halfway down the thigh where it divides into the common peroneal and tibial nerves	сідничний нерв	 виникає з крижового сплетення і проходить приблизно на півдорозі вниз по стегну, де ділиться на загальний малогомілковий і великогомілковий нерви
i69635	inflectional ending: an inflection that is added at the end of a root word	флексійне закінчення	 флексія, яка додається в кінці кореневого слова
i11179	circular: having the shape or form of a circle	круглий	 що має форму або вигляд кола
i36313	mnemonic: a device (such as a rhyme or acronym) used to aid recall	мнемонічний	 пристрій (наприклад, рима або абревіатура), що використовується для полегшення запам'ятовування
i5667	strange: relating to or originating in or characteristic of another place or part of the world	дивний	 який стосується або походить з іншого місця чи частини світу, або є характерним для іншого місця чи частини світу
i956	propitious: presenting favorable circumstances	сприятливий	 такий, що створює сприятливі обставини
i54888	shisha: an oriental tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water	кальян	 східна люлька для куріння тютюну з довгою гнучкою трубкою, з'єднаною з ємністю, де дим охолоджується, проходячи через воду
i55519	booby trap: an explosive mine hidden underground	міна-пастка	 вибухонебезпечна міна, захована під землею
i111867	splenic fever: a highly infectious animal disease (especially cattle and sheep)	селезінка	 високоінфекційне захворювання тварин (особливо великої рогатої худоби та овець)
i2908	half: (of siblings) related through one parent only	половина	 (братів і сестер), пов'язаних лише через одного з батьків
i34464	street-walk: walk the streets in search of customers	street-walk	 ходити вулицями в пошуках клієнтів
i52746	decker: (often used in combinations) something constructed with multiple levels	палуба	 (часто вживається в комбінаціях) щось, побудоване на кількох рівнях
i80959	CIM: the United Kingdom's central unit for the tasking and coordination and funding of intelligence and security agencies	CIM	 центральний підрозділ Сполученого Королівства, що відповідає за завдання, координацію та фінансування розвідувальних і безпекових служб.
i55083	incubator: apparatus consisting of a box designed to maintain a constant temperature by the use of a thermostat	інкубатор	 апарат, що складається з коробки, призначеної для підтримки постійної температури за допомогою термостата
i74239	horse trading: negotiation accompanied by mutual concessions and shrewd bargaining	торгівля кіньми	 переговори, що супроводжуються взаємними поступками та хитромудрим торгом
i109149	million: the number that is represented as a one followed by 6 zeros	мільйон	 число, яке представляється у вигляді одиниці, за якою слідують 6 нулів
i72248	taps: (military) signal to turn the lights out	постукування	 (військовий) сигнал вимкнути світло
i58556	screen: partition consisting of a decorative frame or panel that serves to divide a space	ширма	 перегородка, що складається з декоративної рами або панелі, яка служить для поділу простору
i13315	lax: pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')	розслаблений	 вимовляється з відносно розслабленими м'язами язика та щелепи (наприклад, голосний звук у слові "бет")
i80351	bookclub: a club that people join in order to buy selected books at reduced prices	книжковий клуб	 клуб, до якого люди приєднуються, щоб купувати вибрані книги за зниженими цінами
i88369	zombie: someone who acts or responds in a mechanical or apathetic way	зомбі	 той, хто діє або реагує механічно або апатично
i55307	jumper: a small connector used to make temporary electrical connections	перемичка	 невеликий роз'єм, що використовується для тимчасового електричного з'єднання
i64517	macula: a patch of skin that is discolored but not usually elevated	макула	 ділянка шкіри, яка знебарвлена, але зазвичай не підвищена
i56935	panacea: hypothetical remedy for all ills or diseases	панацея	 гіпотетичний засіб від усіх недуг або хвороб
i34302	condescend: debase oneself morally, act in an undignified, unworthy, or dishonorable way	поблажливо ставитися	 принижувати себе морально, діяти негідно, недостойно або безчесно
i88422	baulker: a person who refuses to comply	порушник	 особа, яка відмовляється підкорятися
